,Unnamed: 0,Nome,Squadra,R,prob_lineup,0,1,2,3,4,5,6,p_nolose,match_voti,match_score,voto_medio,media_pca
0,0,lazzari,Lazio,D,0.85,0.49321943719149886,0.33030014296214644,0.7410526837778855,0.10849695676628092,0.49552904302933554,0.32961978841159556,0.46152683748469325,0.8648581383773022,lazzari,100.0,0.608,0.4228206985176337
1,1,radu,Lazio,D,0.5,0.5206738711725818,0.004098517727418404,0.3658234863732393,0.2281633170161915,0.5524482169037529,0.3257487043908738,0.32849033968917773,0.8648581383773022,radu s,100.0,0.6,0.3322066361818908
2,2,basic,Lazio,C,0.55,0.1501338342481471,0.252757679734756,0.4864654216435483,0.14827245254100518,0.37641092962366185,0.560326474334025,0.4399762018084941,0.8648581383773022,basic,100.0,0.587,0.3449061419905197
3,3,lucas leiva,Lazio,C,0.6,0.5682231076364203,0.09728267493261056,0.5625143101907669,0.1649384144006397,0.4626845849330127,0.3524130650276053,0.3376274441188255,0.8648581383773022,lucas leiva,100.0,0.581,0.36366908589141156
4,4,luiz felipe,Lazio,D,0.8,0.5880361010488725,0.004683521787356467,0.46806422245179247,0.18649461575136303,0.22960171733123794,0.3879933283271873,0.43133820896859243,0.8648581383773022,luiz felipe,100.0,0.581,0.3280302450952003
5,5,hysaj,Lazio,D,0.35,0.3530965874951958,0.09685054143521796,0.42865239401312044,0.1831038391263299,0.34657885794939824,0.4700736832671308,0.4506843895918823,0.8648581383773022,hysaj,100.0,0.5519999999999999,0.3327200418397536
6,6,marusic,Lazio,D,0.9,0.6481813943461935,0.10572196698224973,0.19998715928635735,0.14432453251099672,0.17883336046858828,0.29020148853416255,0.8104972056107408,0.8648581383773022,marusic,100.0,0.5469999999999999,0.33967815824846986
7,7,milinkovicsavic,Lazio,C,0.9,0.8121297849170661,0.28854652550557575,0.5604557569881029,0.09505515870494259,0.1711675044388092,0.5437573558287169,0.482056946979168,0.8648581383773022,milinkovic s,81.0,0.678,0.42188129048034023
8,8,cataldi,Lazio,C,0.55,0.2525650238307539,0.1939712761156127,0.4782265944724469,0.15840789197829055,0.2406630825492052,0.561665213409801,0.45477210007049557,0.8648581383773022,cataldi,100.0,0.603,0.33432445463237226
9,9,acerbi,Lazio,D,0.85,0.635000613062108,0.09182444435700365,0.40574191050953495,0.1631548602435536,0.10588982001349169,0.3423315481723151,0.45565743983550416,0.8648581383773022,acerbi,100.0,0.575,0.3142286623133587
10,10,luis alberto,Lazio,C,0.65,0.7465369621324763,0.23095382963514105,0.7767170287890898,0.1123499104771375,0.14927898890305946,0.5685187927624389,0.5373497870406063,0.8648581383773022,luis alberto,100.0,0.609,0.4459578999628499
11,11,felipe anderson,Lazio,C,0.9,0.6660867410381731,0.20772920695983682,0.4380753014574684,0.12251056804901256,0.5658342024804797,0.7825769361246272,0.4551454822997304,0.8648581383773022,felipe anderson,100.0,0.583,0.46256549120133256
12,12,pedro,Lazio,A,0.55,0.32079344179563346,0.3497463073190398,0.5335170372238065,0.11989211036576615,0.38876609929631245,0.3782209093777946,0.3862318745648414,0.8648581383773022,pedro,100.0,0.5940000000000001,0.3538811114204563
13,13,zaccagni,Lazio,C,0.9,0.5237333233272705,0.2777602465406662,0.46241683677981904,0.11120226353233019,0.6181024862141508,0.7810311231636706,0.44729875312585493,0.8648581383773022,zaccagni,100.0,0.612,0.4602207189548232
14,14,romero l,Lazio,C,0.5,0.12462972996446381,0.1974643112380302,0.4884518149704592,0.1737176834414868,0.36979753871180016,0.5040802650343574,0.38197960335575426,0.8648581383773022,romero l,100.0,0.6,0.320017278102336
15,15,akpa akpro,Lazio,C,0.3,0.027693783152487394,0.23532712021704283,0.4931475615561814,0.18004927931705017,0.43164674208085596,0.5912914234291703,0.513804525537509,0.8648581383773022,akpa akpro,100.0,0.528,0.35328006218432817
16,16,vlahovic,Juventus,A,0.85,0.47718233660271014,0.7966977979500944,0.1591526574225608,0.013452847885419377,0.2884950741746251,0.31106918701370695,0.41710103548806277,0.9403415391439344,vlahovic,100.0,0.5860000000000001,0.3518787052195971
17,17,rugani,Juventus,D,0.5,0.290495815224103,0.118554011830723,0.4055491036311719,0.19275850689887425,0.39391043048633045,0.39736514315465293,0.39510030165621396,0.9403415391439344,rugani,100.0,0.601,0.3133904732688671
18,18,chiellini,Juventus,D,0.2,0.5824739340904443,0.14530888489099433,0.505387853121344,0.14314718004434643,0.0,0.6788036640176969,0.5163077290381227,0.9403415391439344,chiellini,100.0,0.633,0.3673470350289927
19,19,bernardeschi,Juventus,C,0.8,0.19947098241533054,0.21593655071890752,0.49427588613053747,0.16387535228137495,0.4955651675954997,0.5933459053642067,0.47179745222233604,0.9403415391439344,bernardeschi,100.0,0.6,0.376323899532599
20,20,rabiot,Juventus,C,0.6,0.5740697656244241,0.18313490312083805,0.3342532815225993,0.15154559293787823,0.7793160486562768,0.530139430793149,0.2576560515349279,0.9403415391439344,rabiot,100.0,0.579,0.4014450105985847
21,21,zakaria,Juventus,C,0.3,0.37816739773411223,0.34578655480108306,0.28424088942967324,0.10703487775646138,0.5072684244760325,0.5648901495620684,0.4539898924475352,0.9403415391439344,zakaria,100.0,0.5980000000000001,0.3773397408867094
22,22,dybala,Juventus,A,0.75,0.5677389367205207,0.49760991916737835,0.2595639488118324,0.05436922316517953,0.15529386527245134,0.536420072425791,0.40990327129742166,0.9403415391439344,dybala,100.0,0.624,0.35441417669436787
